scheme,year,band,females
S0,1950,00-04,24994172.0
S0,1950,05-09,19943995.0
S0,1950,10-14,18940652.0
S0,1950,15-19,17060327.0
S0,1950,20-24,14931807.0
S0,1950,25-29,13138780.0
S0,1950,30-34,11674625.0
S0,1950,35-39,10240924.0
S0,1950,40-44,8926490.0
S0,1950,45-49,7046190.000000001
S0,1950,50-54,6208254.999999999
S0,1950,55-59,4310663.0
S0,1950,60-64,3846297.0
S0,1950,65-69,2117012.0
S0,1950,70-74,1660576.0
S0,1950,75+,1624266.0
S0,1950,0-8,
S0,1950,9-14,
S0,1950,0-17,
S0,1950,18-29,
S0,1950,30-65,
S0,1950,66+,
S0,1950,15-26,
S0,1950,27-45,
S0,1950,46-65,
S0,1951,00-04,26043062.0
S0,1951,05-09,20237664.0
S0,1951,10-14,19093537.0
S0,1951,15-19,17352844.0
S0,1951,20-24,15220362.0
S0,1951,25-29,13346192.0
S0,1951,30-34,11851023.0
S0,1951,35-39,10382906.0
S0,1951,40-44,9159900.0
S0,1951,45-49,7201186.999999999
S0,1951,50-54,6397463.0
S0,1951,55-59,4421449.0
S0,1951,60-64,3942796.0
S0,1951,65-69,2232814.0
S0,1951,70-74,1648565.0
S0,1951,75+,1627336.0
S0,1951,0-8,
S0,1951,9-14,
S0,1951,0-17,
S0,1951,18-29,
S0,1951,30-65,
S0,1951,66+,
S0,1951,15-26,
S0,1951,27-45,
S0,1951,46-65,
S0,1952,00-04,27139175.0
S0,1952,05-09,20617207.0
S0,1952,10-14,19187101.0
S0,1952,15-19,17665795.0
S0,1952,20-24,15539116.0
S0,1952,25-29,13578527.0
S0,1952,30-34,12029851.0
S0,1952,35-39,10549171.0
S0,1952,40-44,9335768.0
S0,1952,45-49,7457234.0
S0,1952,50-54,6467746.0
S0,1952,55-59,4663431.0
S0,1952,60-64,3925707.0
S0,1952,65-69,2449961.0
S0,1952,70-74,1592868.0
S0,1952,75+,1647319.0000000007
S0,1952,0-8,
S0,1952,9-14,
S0,1952,0-17,
S0,1952,18-29,
S0,1952,30-65,
S0,1952,66+,
S0,1952,15-26,
S0,1952,27-45,
S0,1952,46-65,
S0,1953,00-04,28336998.0
S0,1953,05-09,21044367.0
S0,1953,10-14,19248679.0
S0,1953,15-19,17984209.0
S0,1953,20-24,15874406.0
S0,1953,25-29,13828841.0
S0,1953,30-34,12207582.0
S0,1953,35-39,10737639.0
